name,reads,cpm_evseq,gene_id,count,cpm_srr
YAL068C,0,0.0,YAL068C,4,1.0010298094164372
YAL067C,209,122.21135899031198,YAL067C,5,1.2512872617705466
YAL065C,12,7.0169201334150415,YAL065C,4,1.0010298094164372
YAL064C-A,16,9.355893511220057,YAL064C-A,2,0.5005149047082186
YAL063C-A,32,18.711787022440113,YAL063C-A,4,1.0010298094164372
YAL063C,12,7.0169201334150415,YAL063C,97,24.2749728783486
YAL062W,1,0.5847433444512535,YAL062W,92,23.023685616578053
YAL061W,1,0.5847433444512535,YAL061W,110,27.528319758952023
YAL060W,17,9.94063685567131,YAL060W,528,132.1359348429697
YAL059C-A,22,12.864353577927576,YAL059C-A,205,51.3027777325924
YAL059W,29,16.95755698908635,YAL059W,470,117.62100260643136
YAL058W,72,42.10152080049025,YAL058W,158,39.540677471949266
YAL056C-A,15,8.771150166768802,YAL056C-A,36,9.009268284747934
YAL056W,97,56.72010441177159,YAL056W,141,35.286300781929405
YAL055W,6,3.5084600667075208,YAL055W,16,4.004119237665749
YAL054C,19,11.110123544573817,YAL054C,95,23.77445797364038
YAL053W,18,10.525380200122562,YAL053W,1237,309.56846856203316
YAL051W,96,56.13536106732033,YAL051W,27,6.756951213560951
YAL049C,20,11.69486688902507,YAL049C,307,76.82903787271155
YAL048C,40,23.38973377805014,YAL048C,40,10.010298094164373
YAL047W-A,55,32.16088394481894,YAL047W-A,3,0.7507723570623278
YAL047C,585,342.0748565039833,YAL047C,6,1.5015447141246556
YAL046C,104,60.81330782293036,YAL046C,72,18.01853656949587
YAL045C,124,72.50817471195542,YAL045C,73,18.268794021849978
YAL044W-A,124,72.50817471195542,YAL044W-A,147,36.78784549605407
YAL044C,151,88.29624501213928,YAL044C,686,171.676612314919
YAL043C,1017,594.6839813069248,YAL043C,373,93.34602972808277
YAL042C-A,239,139.75365932384958,YAL042C-A,233,58.30998639850746
YAL042W,772,451.4218619163677,YAL042W,1224,306.3151216814298
YAL041W,1725,1008.6822691784123,YAL041W,37,9.259525737102043
YAL040C,729,426.2778981049638,YAL040C,708,177.18227626670935
YAL039C,20,11.69486688902507,YAL039C,155,38.78990511488694
YAL038W,60,35.08460066707521,YAL038W,70946,17754.765214714636
YAL037C-B,38,22.220247089147634,YAL037C-B,46452,11624.959176753086
YAL037C-A,7,4.0932034111587745,YAL037C-A,1,0.2502574523541093
YAL037W,15,8.771150166768802,YAL037W,9,2.2523170711869835
YAL036C,44,25.72870715585515,YAL036C,534,133.63747955709437
YAL035W,128,74.84714808976045,YAL035W,523,130.88464758119918
YAL034C-B,5,2.9237167222562674,YAL034C-B,3,0.7507723570623278
YAL034W-A,19,11.110123544573817,YAL034W-A,13,3.253346880603421
YAL034C,26,15.20332695573259,YAL034C,111,27.778577211306132
YAL033W,2,1.169486688902507,YAL033W,297,74.32646334917045
YAL032C,12,7.0169201334150415,YAL032C,68,17.01750676007943
YAL031W-A,6,3.5084600667075208,YAL031W-A,20,5.005149047082186
YAL031C,33,19.296530366891364,YAL031C,93,23.273943068932162
YAL030W,19,11.110123544573817,YAL030W,143,35.78681568663763
YAL029C,133,77.77086481201671,YAL029C,131,32.78372625838831
YAL028W,187,109.3470054123844,YAL028W,23,5.755921404144513
YAL027W,120,70.16920133415042,YAL027W,32,8.008238475331497
YAL026C-A,82,47.94895424500278,YAL026C-A,8,2.0020596188328743
YAL026C,286,167.2365965130585,YAL026C,47,11.762100260643136
YAL025C,60,35.08460066707521,YAL025C,109,27.278062306597914
YAL024C,56,32.745627289270196,YAL024C,17,4.254376690019858
YAL023C,25,14.618583611281336,YAL023C,1932,483.49739794813917
YAL022C,17,9.94063685567131,YAL022C,743,185.94128709910322
YAL021C,8,4.677946755610028,YAL021C,652,163.16785893487926
YAL020C,4,2.338973377805014,YAL020C,165,41.292479638428034
YAL019W-A,0,0.0,YAL019W-A,65,16.266734403017104
YAL019W,47,27.482937189208915,YAL019W,65,16.266734403017104
YAL018C,16,9.355893511220057,YAL018C,2,0.5005149047082186
YAL017W,88,51.4574143117103,YAL017W,62,15.515962045954774
YAL016C-B,7,4.0932034111587745,YAL016C-B,1,0.2502574523541093
YAL016C-A,4,2.338973377805014,YAL016C-A,36,9.009268284747934
YAL016W,4,2.338973377805014,YAL016W,258,64.56642270736019
YAL015C,0,0.0,YAL015C,81,20.270853640682855
YAL014C,76,44.44049417829527,YAL014C,128,32.03295390132599
YAL013W,4,2.338973377805014,YAL013W,84,21.021625997745183
YAL012W,14,8.186406822317549,YAL012W,4406,1102.6343350722057
YAL011W,92,53.79638768951531,YAL011W,19,4.754891594728076
YAL010C,62,36.25408735597771,YAL010C,21,5.255406499436296
YAL009W,6,3.5084600667075208,YAL009W,97,24.2749728783486
YAL008W,0,0.0,YAL008W,18,4.504634142373967
YAL007C,1,0.5847433444512535,YAL007C,282,70.57260156385881
YAL005C,11,6.432176788963788,YAL005C,1890,472.98658494926656
YAL004W,7,4.0932034111587745,YAL004W,424,106.10915979814234
YAL003W,17,9.94063685567131,YAL003W,6307,1578.3737519973672
YAL002W,79,46.194724211649024,YAL002W,37,9.259525737102043
YAL001C,52,30.40665391146518,YAL001C,32,8.008238475331497
YAR002W,184,107.59277537903063,YAR002W,102,25.52626014011915
YAR002C-A,136,79.52509484537048,YAR002C-A,1349,337.59730322569345
YAR003W,74,43.27100748939276,YAR003W,96,24.02471542599449
YAR007C,173,101.16059859006685,YAR007C,106,26.527289949535586
YAR008W,55,32.16088394481894,YAR008W,45,11.261585355934917
YAR014C,186,108.76226206793314,YAR014C,140,35.0360433295753
YAR015W,247,144.4316060794596,YAR015W,646,161.6663142207546
YAR018C,336,196.47376373562116,YAR018C,67,16.767249307725322
YAR019C,361,211.0923473469025,YAR019C,75,18.769308926558196
YAR023C,0,0.0,YAR023C,18,4.504634142373967
YAR027W,14,8.186406822317549,YAR027W,209,52.30380754200884
YAR028W,6,3.5084600667075208,YAR028W,142,35.53655823428352
YAR029W,0,0.0,YAR029W,5,1.2512872617705466
YAR030C,0,0.0,YAR030C,9,2.2523170711869835
YAR031W,0,0.0,YAR031W,120,30.030894282493115
YAR033W,2,1.169486688902507,YAR033W,73,18.268794021849978
YAR035W,0,0.0,YAR035W,35,8.759010832393825
YAR042W,490,286.5242387811142,YAR042W,91,22.773428164223944
YAR050W,4,2.338973377805014,YAR050W,51,12.763130070059574
YAR053W,44,25.72870715585515,YAR053W,1,0.2502574523541093
YAR066W,3,1.7542300333537604,YAR066W,27,6.756951213560951
YAR068W,3,1.7542300333537604,YAR068W,24,6.0061788564986225
YAR070C,2,1.169486688902507,YAR070C,2,0.5005149047082186
YAR071W,6,3.5084600667075208,YAR071W,1491,373.13386145997697
YAR073W,1,0.5847433444512535,YAR073W,28,7.007208665915059
YAR075W,0,0.0,YAR075W,5,1.2512872617705466
YBL113C,5,2.9237167222562674,YBL113C,115,28.779607020722565
YBL113W-A,0,0.0,YBL113W-A,30,7.507723570623279
YBL112C,1,0.5847433444512535,YBL112C,13,3.253346880603421
YBL111C,14,8.186406822317549,YBL111C,34,8.508753380039716
YBL109W,3,1.7542300333537604,YBL109W,1,0.2502574523541093
YBL107C,12,7.0169201334150415,YBL107C,39,9.760040641810262
YBL106C,55,32.16088394481894,YBL106C,55,13.764159879476011
YBL105C,52,30.40665391146518,YBL105C,118,29.530379377784897
YBL104C,17,9.94063685567131,YBL104C,70,17.51802166478765
YBL103C,36,21.050760400245125,YBL103C,32,8.008238475331497
YBL102W,9,5.262690100061281,YBL102W,224,56.057669327320475
YBL101C,175,102.33008527896935,YBL101C,68,17.01750676007943
YBL100C,5,2.9237167222562674,YBL100C,195,48.80020320905131
YBL099W,15,8.771150166768802,YBL099W,1026,256.7641461153161
YBL098W,23,13.449096922378828,YBL098W,116,29.029864473076678
YBL097W,119,69.58445798969916,YBL097W,14,3.5036043329575297
YBL096C,0,0.0,YBL096C,13,3.253346880603421
YBL095W,2,1.169486688902507,YBL095W,98,24.525230330702712
YBL094C,2,1.169486688902507,YBL094C,29,7.2574661182691695
YBL093C,4,2.338973377805014,YBL093C,202,50.55200537553008
YBL092W,4,2.338973377805014,YBL092W,7123,1782.5838331183206
YBL091C-A,0,0.0,YBL091C-A,40,10.010298094164373
YBL091C,4,2.338973377805014,YBL091C,633,158.41296734015117
YBL090W,2,1.169486688902507,YBL090W,103,25.776517592473258
YBL089W,700,409.3203411158774,YBL089W,219,54.80638206554994
YBL088C,5484,3206.732500970674,YBL088C,41,10.260555546518482
YBL087C,172,100.5758552456156,YBL087C,4482,1121.6539014511177
YBL086C,38,22.220247089147634,YBL086C,35,8.759010832393825
YBL085W,28,16.372813644635098,YBL085W,79,19.770338735974633
YBL084C,158,92.38944842329805,YBL084C,41,10.260555546518482
YBL083C,18,10.525380200122562,YBL083C,10,2.502574523541093
YBL082C,53,30.991397255916432,YBL082C,445,111.36456629757863
YBL081W,90,52.62690100061281,YBL081W,427,106.85993215520467
YBL080C,77,45.025237522746515,YBL080C,11,2.752831975895202
YBL079W,186,108.76226206793314,YBL079W,122,30.53140918720133
YBL078C,58,33.9151139781727,YBL078C,21,5.255406499436296
YBL077W,79,46.194724211649024,YBL077W,300,75.07723570623278
YBL076C,273,159.63493303519218,YBL076C,1796,449.4623844279803
YBL075C,160,93.55893511220056,YBL075C,21,5.255406499436296
YBL074C,44,25.72870715585515,YBL074C,2,0.5005149047082186
YBL073W,15,8.771150166768802,YBL073W,2,0.5005149047082186
YBL072C,138,80.69458153427297,YBL072C,11218,2807.388100508398
YBL071C-B,8,4.677946755610028,YBL071C-B,2,0.5005149047082186
YBL071W-A,15,8.771150166768802,YBL071W-A,42,10.510812998872591
YBL071C,23,13.449096922378828,YBL071C,60,15.015447141246558
YBL070C,27,15.788070300183842,YBL070C,10,2.502574523541093
YBL069W,92,53.79638768951531,YBL069W,111,27.778577211306132
YBL068W,63,36.838830700428964,YBL068W,383,95.84860425162385
YBL067C,90,52.62690100061281,YBL067C,79,19.770338735974633
YBL066C,201,117.53341223470194,YBL066C,61,15.265704593600665
YBL065W,30,17.542300333537604,YBL065W,2,0.5005149047082186
YBL064C,10,5.847433444512535,YBL064C,81,20.270853640682855
YBL063W,54,31.576140600367683,YBL063W,14,3.5036043329575297
YBL062W,5,2.9237167222562674,YBL062W,21,5.255406499436296
YBL061C,11,6.432176788963788,YBL061C,64,16.016476950662994
YBL060W,59,34.49985732262395,YBL060W,14,3.5036043329575297
YBL059C-A,41,23.97447712250139,YBL059C-A,35,8.759010832393825
YBL059W,66,38.59306073378273,YBL059W,48,12.012357712997245
YBL058W,150,87.71150166768803,YBL058W,341,85.33779125275127
YBL057C,86,50.2879276228078,YBL057C,327,81.83418691979374
YBL056W,169,98.82162521226184,YBL056W,226,56.558184232028694
YBL055C,61,35.66934401152646,YBL055C,270,67.5695121356095
YBL054W,114,66.6607412674429,YBL054W,210,52.55406499436295
YBL053W,43,25.1439638114039,YBL053W,6,1.5015447141246556
YBL052C,184,107.59277537903063,YBL052C,22,5.505663951790404
YBL051C,147,85.95727163433425,YBL051C,83,20.771368545391073
YBL050W,95,55.55061772286908,YBL050W,233,58.30998639850746
YBL049W,44,25.72870715585515,YBL049W,14,3.5036043329575297
YBL048W,36,21.050760400245125,YBL048W,4,1.0010298094164372
YBL047C,106,61.982794511832864,YBL047C,291,72.8249186350458
YBL046W,14,8.186406822317549,YBL046W,30,7.507723570623279
YBL045C,17,9.94063685567131,YBL045C,368,92.09474246631221
YBL044W,0,0.0,YBL044W,2,0.5005149047082186
YBL043W,10,5.847433444512535,YBL043W,11,2.752831975895202
YBL042C,21,12.279610233476323,YBL042C,1119,280.0380891842483
YBL041W,2,1.169486688902507,YBL041W,269,67.3192546832554
YBL040C,187,109.3470054123844,YBL040C,324,81.08341456273142
YBL039W-B,153,89.46573170104178,YBL039W-B,9,2.2523170711869835
YBL039C,743,434.4643049272813,YBL039C,1655,414.1760836460509
YBL038W,270,157.88070300183844,YBL038W,76,19.019566378912305
YBL037W,1069,625.0906352183899,YBL037W,46,11.511842808289027
YBL036C,230,134.4909692237883,YBL036C,257,64.31616525500608
YBL035C,333,194.7195337022674,YBL035C,58,14.514932236538339
YBL034C,306,178.93146340208355,YBL034C,25,6.256436308852733
YBL033C,10,5.847433444512535,YBL033C,174,43.544796709615014
YBL032W,0,0.0,YBL032W,342,85.58804870510538
YBL031W,3,1.7542300333537604,YBL031W,10,2.502574523541093
YBL030C,16,9.355893511220057,YBL030C,1796,449.4623844279803
YBL029C-A,12,7.0169201334150415,YBL029C-A,34,8.508753380039716
YBL029W,41,23.97447712250139,YBL029W,39,9.760040641810262
YBL028C,35,20.46601705579387,YBL028C,170,42.543766900198584
YBL027W,68,39.76254742268524,YBL027W,7162,1792.3438737601307
YBL026W,81,47.36421090055153,YBL026W,173,43.29453925726091
YBL025W,96,56.13536106732033,YBL025W,15,3.7538617853116394
YBL024W,254,148.52480949061837,YBL024W,538,134.6385093665108
YBL023C,22,12.864353577927576,YBL023C,144,36.03707313899174
YBL022C,31,18.127043677988855,YBL022C,88,22.022655807161616
YBL021C,15,8.771150166768802,YBL021C,34,8.508753380039716
YBL020W,67,39.17780407823398,YBL020W,321,80.33264220566909
YBL019W,64,37.423574044880226,YBL019W,31,7.757981022977387
YBL018C,41,23.97447712250139,YBL018C,57,14.264674784184228
YBL017C,137,80.10983818982173,YBL017C,151,37.788875305470505
YBL016W,2,1.169486688902507,YBL016W,268,67.06899723090129
YBL015W,10,5.847433444512535,YBL015W,153,38.28939021017872
YBL014C,18,10.525380200122562,YBL014C,80,20.020596188328746
YBL013W,4,2.338973377805014,YBL013W,7,1.7518021664787649
YBL012C,2,1.169486688902507,YBL012C,27,6.756951213560951
YBL011W,15,8.771150166768802,YBL011W,301,75.32749315858689
YBL010C,12,7.0169201334150415,YBL010C,19,4.754891594728076
YBL009W,34,19.88127371134262,YBL009W,37,9.259525737102043
YBL008W,35,20.46601705579387,YBL008W,72,18.01853656949587
YBL007C,6,3.5084600667075208,YBL007C,435,108.86199177403755
YBL006C,2,1.169486688902507,YBL006C,242,60.56230346969445
YBL006W-A,1,0.5847433444512535,YBL006W-A,38,9.509783189456153
YBL005W,23,13.449096922378828,YBL005W,56,14.014417331830119
YBL004W,208,121.62661564586072,YBL004W,170,42.543766900198584
YBL003C,13,7.601663477866295,YBL003C,1154,288.79710001664216
YBL002W,4,2.338973377805014,YBL002W,1621,405.66733026601116
YBL001C,6,3.5084600667075208,YBL001C,409,102.3552980128307
YBR001C,63,36.838830700428964,YBR001C,48,12.012357712997245
YBR002C,12,7.0169201334150415,YBR002C,144,36.03707313899174
YBR003W,26,15.20332695573259,YBR003W,74,18.519051474204087
YBR004C,38,22.220247089147634,YBR004C,312,78.0803251344821
